Sector_score,LOCATION_ID,PARA_A,PARA_B,TOTAL,numbers,Money_Value,District,LOSS_SCORE,History_score,Risk
1.99,5,0.29,0,0.29,5,0.06,2,2,2,0
2.72,9,0,0,0,5,0,2,2,2,0
3.41,36,0.07,0,0.07,5,0,2,2,2,0
2.72,15,2.68,38.32,41,5,7.17,2,2,2,1
55.57,9,0.88,0.54,1.42,5,0.11,2,2,0,0
3.41,2,1.35,66.35,67.7,5.5,27.13,2,2,6,1
3.89,2,0.74,1,1.74,5,0,2,2,2,0
21.61,8,0.38,0.48,0.86,5,0.33,2,2,2,0
2.72,19,1.64,0.19,1.83,5,1.59,2,2,2,1
2.72,4,0,0,0,5,0,2,2,2,0
3.89,15,7.18,14.63,21.81,5,98.75,2,2,2,1
2.37,32,0,0,0,5,0,2,2,2,0
2.37,31,0,0,0,5,0,2,2,2,0
59.85,11,0,0,0,5,0.7,2,2,2,0
55.57,19,0.24,0,0.24,5,0,2,2,0,0
3.41,19,1.64,46.21,47.85,5,2.45,2,2,2,1
55.57,9,0.92,0,0.92,5,0,2,2,0,0
2.72,11,3.11,113.97,117.08,5.5,26.64,2,2,2,1
3.89,20,9.01,19.82,28.83,5,9.67,2,2,2,1
3.89,6,0,10.8,10.8,6,11.75,2,2,2,1
2.72,19,3.66,15.47,19.13,5,1.43,2,2,2,1
3.89,13,0,0.06,0.06,5,0,2,2,2,0
59.85,13,0.48,0,0.48,5,0,2,2,2,0
3.89,33,2.57,4.49,7.06,5,7.56,2,2,4,1
3.89,6,0,0.23,0.23,5,0,2,2,2,0
21.61,8,0.29,0.33,0.62,5,0,2,2,2,0
55.57,5,0,0,0,5,0,2,2,0,0
59.85,9,0,0,0,5,0.19,2,2,2,0
3.41,5,10,47.9,57.9,5,7.7,2,2,2,1
2.37,16,0.01,0.007,0.017,5,0,2,2,2,0
3.41,15,2.86,17.09,19.95,5.5,6.88,2,2,2,1
55.57,22,0.07,0,0.07,5,0,2,2,0,0
2.72,39,2.81,4.6,7.41,5,8.44,2,2,2,1
3.89,11,0,0.08,0.08,5,0.68,2,2,2,0
2.72,2,3.26,5.55,8.81,5,0.21,6,2,2,1
2.72,20,4.97,42.19,47.16,5.5,45.37,2,2,2,1
3.89,5,0,1.76,1.76,5,1.08,2,2,2,0
3.89,5,0,2.97,2.97,5,2.84,2,2,2,0
21.61,22,0.37,0.46,0.83,5,0,2,2,2,0
2.72,4,5.65,67.16,72.81,6,27.23,2,2,2,1
3.41,40,10.37,105.56,115.93,9,52.13,2,2,2,1
3.89,21,0,20.71,20.71,5,20.79,2,2,6,1
3.89,14,6.85,31.76,38.61,5,1.46,2,2,2,1
3.89,29,12.27,72.46,84.73,5,5.69,2,2,2,1
59.85,43,0,0,0,5,0,2,2,2,0
55.57,5,0,0,0,5,0.01,2,2,0,0
59.85,9,0.3,0,0.3,5,0,2,2,2,0
55.57,25,0.56,0,0.56,5,0,2,2,2,0
59.85,4,0.01,0,0.01,5,0.6,2,2,2,0
3.89,3,0.02,5.94,5.96,5,0.01,2,2,2,1
2.72,19,0.85,0,0.85,5,0,2,2,2,0
3.89,6,0,4.83,4.83,5,0.94,2,2,2,0
2.37,18,0.09,0,0.09,5,0,2,2,2,0
2.37,12,0.39,0.14,0.53,5,0.58,2,2,2,0
2.72,11,3.51,52.89,56.4,5,4.26,2,2,2,1
3.89,12,0,0.03,0.03,5,0.06,2,2,2,0
3.89,11,14.04,10.83,24.87,5,8.91,2,2,2,1
3.41,11,6.31,19.42,25.73,5.5,13.88,2,2,2,1
59.85,15,0,0,0,5,2.39,2,2,2,0
3.41,31,12.62,80.06,92.68,5.5,43.53,4,2,2,1
2.37,6,0.39,0.47,0.86,5,0,2,2,2,0
3.89,12,0,0.79,0.79,5,15.82,2,2,2,1
3.89,37,4.86,46.78,51.64,5.5,63.18,2,2,2,1
3.41,31,0.17,0,0.17,5,0,2,2,2,0
3.89,6,0,0.83,0.83,5,2.95,2,2,2,0
3.41,29,1.1,87.71,88.81,5.5,34.32,2,2,2,1
1.99,6,0.9,0,0.9,5,1.95,2,2,2,0
3.41,4,4.13,16.74,20.87,5,44.02,2,2,2,1
3.89,32,4.93,6.54,11.47,5.5,12.91,4,2,2,1
3.89,9,6.32,9.01,15.33,5,8.31,2,2,2,1
3.41,12,1.07,0,1.07,5,0,6,2,2,1
3.89,19,0,1.03,1.03,5,2.43,2,2,2,0
3.89,4,7.42,2.24,9.66,5,1.25,2,2,2,1
3.89,31,1.99,10.24,12.23,5,20.78,2,2,2,1
3.41,9,6.93,70.26,77.19,5,9.73,2,2,2,1
55.57,4,0.28,0.25,0.53,5,0,2,2,0,0
3.89,16,6.47,12.18,18.65,5,25.27,6,2,2,1
3.89,14,0,1.03,1.03,5,0,2,2,2,0
21.61,14,0,0,0,5,0,2,2,2,0
3.41,32,12.54,31.62,44.16,5,54.07,2,2,2,1
2.72,9,3.99,92.05,96.04,5,15.14,2,2,4,1
3.89,32,0,0.85,0.85,5,0,4,2,2,1
59.85,4,0.15,0,0.15,5,0.05,2,2,2,0
3.89,6,0,0.08,0.08,5,0,2,2,2,0
3.41,9,12.28,20.62,32.9,5,10.16,2,2,4,1
2.72,8,5.61,99.33,104.94,6.5,76.47,2,2,2,1
3.89,16,0,1.66,1.66,5,0.76,6,2,2,1
2.72,13,3.84,144.39,148.23,5,19.68,2,4,4,1
2.72,15,2.13,42.64,44.77,5,18.24,2,2,2,1
55.57,29,0.6,0.46,1.06,5,0,2,2,2,0
55.57,4,0.26,0.21,0.47,5,0.05,2,2,2,0
2.72,16,3.26,2.81,6.07,6,21.6,4,2,2,1
3.41,9,17.26,44.22,61.48,5,27.68,2,2,4,1
2.37,19,0.84,0.06,0.9,5,0.72,2,2,2,0
55.57,14,0.21,0,0.21,5,0,2,2,0,0
2.72,12,7.07,35.48,42.55,5,8.76,2,2,2,1
2.37,16,0.17,0.04,0.21,5,0,2,2,2,0
3.89,8,10,74.26,84.26,5.5,11.16,2,2,6,1
55.57,9,0.21,0,0.21,5,0,2,2,0,0
3.41,30,1.15,20.1,21.25,6,21.45,2,2,2,1
3.89,8,0,0.84,0.84,5,0.007,2,2,2,0
2.72,18,5.11,53.76,58.87,6,48.56,2,2,6,1
2.72,19,2.13,0.59,2.72,5,0.76,2,2,2,1
2.72,22,3.22,55.64,58.86,5,80.8,2,4,2,1
55.57,9,0,0,0,5,0,2,2,0,0
2.37,4,0,0,0,5,0.05,2,2,2,0
3.89,9,0,1.61,1.61,5,2.51,2,2,2,0
59.85,14,0,0.22,0.22,5,0,2,2,2,0
2.72,13,5.5,93.26,98.76,5,14.27,2,2,2,1
3.89,3,0.94,0.01,0.95,5,0.1,2,2,2,0
3.89,16,0,0.08,0.08,5,0.06,6,2,2,1
3.89,15,1,0,1,5,0.36,2,2,2,1
21.61,22,0.02,0.66,0.68,5,0,2,2,2,0
3.41,22,5.15,44.67,49.82,5.5,21.07,2,2,2,1
3.89,36,10.96,41.47,52.43,5,35.21,2,2,4,1
2.37,9,0.31,0.69,1,5,0,2,2,2,0
2.72,29,4.9,98.71,103.61,5.5,82.99,2,2,4,1
3.41,22,4.73,60.22,64.95,5,69.76,2,2,2,1
3.41,16,1.05,0,1.05,5,0,2,2,2,1
55.57,36,0.8,0,0.8,5,0,2,2,0,0
2.37,31,0.96,0.12,1.08,5,0.22,2,2,2,0
21.61,29,0.63,0.69,1.32,5,0.32,2,2,2,0
21.61,4,0.67,0.76,1.43,5,0,2,2,2,0
3.89,16,0,1.1,1.1,5,0,6,2,2,1
2.37,5,0.26,0.17,0.43,5,0,2,2,2,0
3.41,31,16.36,41.1,57.46,5,12.03,4,2,2,1
55.57,19,0,0,0,5,0,2,2,0,0
55.57,6,0.84,0,0.84,5,0,2,2,2,0
3.89,19,0,0.05,0.05,5,0,2,2,2,0
3.41,38,1.35,33.25,34.6,5.5,20.62,2,2,2,1
3.41,9,0.8,0,0.8,5,0.18,2,2,2,0
2.37,16,0.38,0.85,1.23,5,0.04,2,2,2,0
3.41,18,1.98,51.42,53.4,5.5,20.33,2,2,4,1
55.57,43,0,0,0,5,0,2,2,0,0
2.72,16,2.84,64.91,67.75,5.5,124.59,4,2,2,1
21.61,31,0,0,0,5,0.03,2,2,2,0
3.41,15,1.01,0,1.01,5,0.28,2,2,2,1
3.41,6,0.43,0,0.43,5,0,2,2,2,0
55.57,5,0,0,0,5,0,2,2,0,0
55.57,37,0.17,0,0.17,5,0,2,2,2,0
2.72,12,3.62,8.37,11.99,5,0,2,2,2,1
1.99,8,0.45,0,0.45,5,0,2,2,2,0
1.85,11,0.44,0.62,1.06,5,0.64,2,2,2,0
3.41,41,9.67,62.25,71.92,5.5,17.02,2,2,2,1
3.89,2,71.48,25.63,97.11,5,873.37,2,2,2,1
3.89,24,6.26,14.1,20.36,5,34.24,2,2,4,1
3.89,8,1.09,0.35,1.44,5,0,2,2,2,1
3.89,11,1.26,0.05,1.31,5,0,2,2,2,1
21.61,13,0.32,0,0.32,5,0,2,2,2,0
3.89,15,5.23,5.89,11.12,5,19.4,2,2,2,1
3.89,22,0,18.05,18.05,5,2.29,2,2,2,1
3.89,16,0,2.72,2.72,5,5.58,6,2,2,1
2.72,19,2.19,0.68,2.87,5,28.4,2,2,2,1
2.72,5,7.43,79.5,86.93,5,102.39,2,2,2,1
2.72,13,0,0,0,5,0,2,2,2,0
3.41,39,1.07,0,1.07,5,10.02,2,2,2,1
3.41,20,1.08,32.71,33.79,5,8.38,2,2,2,1
3.89,12,8.81,9.02,17.83,5,215.31,2,2,4,1
3.89,37,4.18,4.83,9.01,5.5,14.03,2,2,2,1
3.41,14,0,0,0,5,0,2,2,2,0
3.41,16,11.73,85.87,97.6,5,6.96,2,2,4,1
2.37,12,0.42,0.27,0.69,5,0,2,2,2,0
59.85,4,0,0,0,5,0,2,2,2,0
55.57,12,0.38,0.09,0.47,5,0,2,2,2,0
59.85,19,0.03,0,0.03,5,1.66,2,2,2,0
21.61,18,0.54,0.56,1.1,5,0.8,2,2,2,0
3.89,29,0,0.96,0.96,5,1.35,2,2,2,0
1.99,18,0,0,0,5,0,2,2,2,0
3.89,37,8.54,31.63,40.17,5,41.28,2,2,4,1
2.37,9,0,0,0,5,0,2,2,2,0
59.85,1,0,0,0,5,0,2,2,2,0
59.85,32,0,0,0,5,0,2,2,2,0
3.89,12,0,0.07,0.07,5,0,2,2,2,0
59.85,5,0,0,0,5,1.44,2,2,2,0
59.85,9,0.01,0.11,0.12,5,1.03,2,2,2,0
3.89,8,5.47,7.63,13.1,5,10.43,2,2,4,1
3.41,11,1.21,0,1.21,5,0,2,2,2,1
3.41,19,1.21,43.84,45.05,5.5,31.61,2,2,2,1
2.72,39,3.48,17.85,21.33,5,9.53,2,2,2,1
3.89,2,0,7.37,7.37,5,0.74,2,2,2,1
55.57,5,0.49,0,0.49,5,0.02,2,2,0,0
3.89,19,0.62,2.02,2.64,5,0.11,2,2,2,0
3.41,27,1.41,36.16,37.57,5,13.05,2,6,2,1
1.85,5,0.71,0.66,1.37,5,0,2,2,2,0
2.72,4,1.73,5.64,7.37,5,13.35,2,2,2,1
3.89,29,4.24,8.06,12.3,5,10.69,2,2,2,1
2.72,39,4.05,21.66,25.71,5.5,18.45,2,2,2,1
2.72,8,3.62,44.28,47.9,5,44.67,2,2,2,1
3.89,19,7.97,17.18,25.15,5,935.03,2,2,2,1
59.85,9,0.06,0,0.06,5,0,2,2,2,0
1.99,8,0.58,0,0.58,5,0,2,2,2,0
55.57,6,0.62,0.42,1.04,5,0,2,2,2,0
59.85,5,0.15,0,0.15,5,0,2,2,2,0
55.57,12,0.79,0.46,1.25,5,0.28,2,2,2,0
2.37,5,0.02,0.87,0.89,5,0.04,2,2,2,0
3.41,16,3.34,37.59,40.93,5,26.95,2,2,2,1
3.89,4,5.78,57.92,63.7,5,11.16,2,2,2,1
1.99,13,0,0,0,5,0,2,2,2,0
3.89,32,1.22,0.06,1.28,5,0,4,2,2,1
3.89,23,4.18,2.5,6.68,5,3.38,2,2,2,1
59.85,7,0.29,0,0.29,5,0.04,2,2,2,0
55.57,5,0.51,0.03,0.54,5,0,2,2,0,0
2.72,31,5.45,71.09,76.54,5.5,59.18,2,2,2,1
2.72,8,4.34,24.13,28.47,5,3.42,2,2,2,1
3.41,8,1.21,34.03,35.24,5,5.36,2,2,2,1
55.57,6,0.87,0,0.87,5,0.1,2,2,2,0
3.89,13,1.95,9.01,10.96,5,9,2,2,2,1
1.99,30,0.66,0,0.66,5,0.73,2,2,2,0
55.57,5,0.71,0,0.71,5,0,2,2,0,0
2.72,30,3.47,47.07,50.54,5,31.38,2,2,2,1
3.41,8,3.08,60.78,63.86,5,0.36,2,2,2,1
3.89,22,2.95,6.56,9.51,5,156.92,2,2,2,1
21.61,13,0.56,0.63,1.19,5,0.09,2,2,2,0
3.89,15,0,1.88,1.88,5,0,2,2,2,0
2.72,5,1.46,0.75,2.21,5,0.11,2,2,2,1
3.89,9,8.46,72.76,81.22,5,1.4,2,4,6,1
3.89,19,1.32,0,1.32,5,0.06,2,2,2,1
55.57,43,0.83,0,0.83,5,0,2,2,0,0
3.89,9,0,1.05,1.05,5,0.16,2,2,2,0
55.57,5,0.15,0,0.15,5,0,2,2,0,0
2.72,7,3.04,67.37,70.41,6.5,77.47,2,2,2,1
1.85,9,0.7,0.6,1.3,5,0.51,2,2,2,0
59.85,29,0.03,0,0.03,5,1.22,2,2,2,0
55.57,6,0,0.03,0.03,5,0,2,2,2,0
1.99,25,0.53,0,0.53,5,2.33,2,2,2,0
2.72,19,0,0,0,5,0,2,2,2,0
55.57,4,0.73,0,0.73,5,0,2,2,0,0
3.89,15,6.59,23.66,30.25,5,34.83,2,2,4,1
2.72,39,2.46,6.72,9.18,5,0,2,2,2,1
55.57,19,0.42,0,0.42,5,0,2,2,0,0
55.57,13,0.54,0.67,1.21,5,0,2,2,2,0
59.85,9,0,0,0,5,0,2,2,2,0
3.41,32,0.77,0,0.77,5,0.32,2,2,2,0
55.57,6,0.38,0.49,0.87,5,0,2,2,2,0
55.57,19,0,0,0,5,0.02,2,2,2,0
2.37,4,0.02,0.05,0.07,5,0,2,2,2,0
2.72,16,1.75,0.57,2.32,5,0,4,2,2,1
55.57,25,0.5,0,0.5,5,0,2,2,2,0
3.41,16,12.68,41,53.68,5.5,11.88,2,2,2,1
2.72,12,7.42,115.87,123.29,6,6.79,2,2,4,1
3.89,13,2.63,2.55,5.18,5,0,2,2,2,1
3.89,8,0,3.98,3.98,6,53.34,2,2,2,1
3.41,18,0,0,0,5,0,4,2,2,1
3.89,2,0.05,0.21,0.26,5.5,102.22,2,2,2,1
3.41,37,5.22,20.94,26.16,5,2.44,2,2,2,1
3.41,37,0.83,28.06,28.89,5,13.31,2,2,2,1
2.72,9,1.65,20.86,22.51,5,16.91,2,2,2,1
1.99,27,0.6,0,0.6,5,0,2,2,2,0
3.41,22,2.7,45.16,47.86,5,37.79,2,2,2,1
55.57,9,0,0,0,5,0,2,2,0,0
3.89,12,0,0.89,0.89,5,0,2,2,2,0
55.57,6,0,0,0,5,0,2,2,2,0
59.85,39,0,0,0,5,3.3,2,2,2,0
1.85,6,0.26,0,0.26,5,0,2,2,2,0
3.41,5,0.93,0,0.93,5,0,2,2,2,0
3.41,42,3.77,40.86,44.63,5,18,2,2,2,1
3.41,39,9.97,88.73,98.7,5,10.27,2,2,2,1
3.89,7,1.1,7.41,8.51,5,44.95,2,2,2,1
2.72,15,0,0,0,5,0,2,2,2,0
2.72,4,1.33,0.35,1.68,5,0,2,2,2,1
21.61,12,0.19,0.23,0.42,5,0,2,2,2,0
21.61,16,0.27,0.35,0.62,5,0,2,2,2,0
55.57,9,0.26,0.0021,0.2621,5,0,2,2,0,0
55.57,4,0.49,0,0.49,5,0,2,2,0,0
55.57,4,0.74,0,0.74,5,0.15,2,2,2,0
3.41,11,10.08,22.31,32.39,5.5,16.82,2,2,2,1
3.89,16,15.72,57.94,73.66,6,10.79,6,2,2,1
3.41,25,1.44,29.25,30.69,5,35.13,2,2,2,1
3.41,11,1.44,9.65,11.09,6.5,10.03,2,2,2,1
55.57,15,0.69,0.81,1.5,5,0,2,2,2,0
3.41,29,12.29,25.74,38.03,5,22.1,2,4,2,1
55.57,6,0,0,0,5,0.02,2,2,2,0
2.72,5,3.5,16.09,19.59,5,5.03,2,2,2,1
3.41,13,1.97,30.25,32.22,5,0.68,2,2,2,1
3.41,13,2.92,5.24,8.16,5,9.76,2,2,2,1
3.41,8,1.12,0,1.12,5,0,2,2,2,1
3.89,2,0,0,0,5,0,2,2,2,0
59.85,4,0.31,0,0.31,5,0,2,2,2,0
3.41,2,1.18,0,1.18,5.5,183.2,2,4,2,1
59.85,28,0.04,0,0.04,5,0.22,2,2,2,0
3.89,30,12.7,1.28,13.98,5,11.69,2,2,2,1
3.89,37,0,0.75,0.75,5,6.78,2,2,2,1
3.89,38,0,63.13,63.13,5,14.6,2,2,4,1
3.41,39,3.63,10.85,14.48,5,0.28,2,2,2,1
59.85,16,0.03,0,0.03,5,1.55,2,2,2,0
2.37,19,0.51,0.47,0.98,5,0,2,2,2,0
3.41,13,1.01,0,1.01,5,0,2,2,2,1
59.85,12,0.05,0,0.05,5,0.63,2,2,2,0
59.85,8,0,0,0,5,0.29,2,2,2,0
3.41,14,16.53,72.99,89.52,5,5.49,2,2,4,1
2.72,6,0.61,0.07,0.68,5,0,2,2,2,0
59.85,8,0,0,0,5,0.93,2,2,2,0
1.85,32,0.78,0.97,1.75,5,0.97,2,2,2,0
3.89,22,0,0.93,0.93,5,7.78,2,2,2,1
55.57,6,0.11,0,0.11,5,0,2,2,2,0
2.72,40,4.43,51.32,55.75,5.5,145.97,2,2,2,1
2.72,9,3.84,98.67,102.51,5,12.9,2,2,2,1
1.99,5,0.56,0,0.56,5,1.75,2,2,2,0
2.72,38,4.6,54.99,59.59,5,14.1,2,2,2,1
59.85,32,0,0,0,5,2.86,2,2,2,0
55.57,9,0.78,0,0.78,5,0,2,2,0,0
3.89,11,0,6.8,6.8,5,47.9,2,2,2,1
3.89,4,0,1.1,1.1,5,0.007,2,2,2,0
3.89,32,6.85,65.93,72.78,5.5,6.02,4,2,2,1
3.41,29,0.63,0,0.63,5,0,2,2,2,0
55.57,5,0.09,0,0.09,5,0,2,2,0,0
2.72,16,6.02,135.69,141.71,6,89.64,4,2,2,1
3.89,19,0,0,0,5,0,2,2,2,0
2.72,16,2.41,5.28,7.69,5,8.95,4,2,2,1
3.41,19,0.31,58.12,58.43,5,78.98,2,4,2,1
3.89,12,1.07,0,1.07,5,0,2,2,2,1
2.72,12,0.77,0,0.77,5,4.6,2,2,2,0
3.89,5,0,0.43,0.43,5,0,2,2,2,0
2.72,19,3.9,27.92,31.82,5,47.6,2,2,2,1
3.89,8,5.43,10.77,16.2,5,4.42,2,2,2,1
3.89,22,1.97,2.1,4.07,5,12.29,2,6,2,1
3.41,29,4.17,24.37,28.54,5,4.24,2,2,2,1
3.89,2,0,0.58,0.58,5,0,2,2,2,0
3.89,9,0.42,0.07,0.49,5,0.42,2,2,2,0
55.57,16,0.49,0,0.49,5,0,2,2,2,0
3.89,6,0.51,0.23,0.74,5,0,2,2,2,0
1.99,29,0.85,0,0.85,5,0,2,2,2,0
55.57,9,0.17,0,0.17,5,0,2,2,0,0
21.61,32,0.34,0.27,0.61,5,0,2,2,2,0
2.72,8,0,0.62,0.62,5,0,2,2,2,0
2.72,2,4.28,1264.63,1268.91,5.5,58.86,6,2,6,1
3.89,21,0,15.38,15.38,5,126.13,2,2,2,1
2.72,25,4.43,61.47,65.9,5.5,39.65,2,2,2,1
3.89,15,0.77,18.31,19.08,5,67.03,2,2,2,1
3.89,3,5.31,22.79,28.1,5,205.19,2,2,4,1
3.89,11,6.67,18.02,24.69,5.5,4.95,2,2,6,1
59.85,19,0.2,0.28,0.48,5,0,2,2,2,0
3.41,22,0.65,0,0.65,5,0,2,2,2,0
2.72,1,4.36,33.91,38.27,5.5,6.06,6,4,2,1
2.72,5,1.9,35.04,36.94,6.5,16.19,2,2,2,1
2.72,14,4.53,87.93,92.46,5,85.81,2,2,2,1
3.41,34,4.25,45.51,49.76,5.5,8.2,2,2,2,1
21.61,19,0.43,0,0.43,5,0,2,2,2,0
3.89,5,0,0.94,0.94,5,0.9,2,2,2,0
3.41,13,5.61,1.56,7.17,5,4.03,2,2,2,1
21.61,4,0,0,0,5,0,2,2,2,0
3.89,2,0,3.72,3.72,5,0,2,2,6,1
3.89,37,2.4,16.63,19.03,5,1.16,2,2,2,1
2.72,32,5.68,67.38,73.06,5,86.7,2,2,4,1
3.89,8,3.98,0.99,4.97,5,1.93,2,2,2,1
3.89,19,0,2.27,2.27,5,2.62,2,2,2,0
3.89,19,11.95,30.9,42.85,5,32.68,2,2,2,1
3.89,21,0,1.02,1.02,5,0,2,2,2,0
3.41,35,13.06,45.42,58.48,5,10.4,2,2,2,1
3.41,39,1.52,37.33,38.85,5.5,63.7,2,2,2,1
3.89,32,0.01,1.29,1.3,5.5,36.52,4,2,2,1
55.57,5,0.7,0.19,0.89,5,0,2,2,2,0
3.89,37,1.81,1.03,2.84,5,0,2,2,2,1
3.41,19,0.91,0,0.91,5,0,2,2,2,0
3.41,15,12.17,47,59.17,6,10.14,2,2,2,1
3.41,13,15.66,74.53,90.19,5,29.07,2,2,2,1
3.89,12,4.76,13.03,17.79,5,0.58,2,2,4,1
2.72,5,0,0.28,0.28,5,0,2,2,2,0
3.41,4,4.01,0,4.01,5,0,2,2,2,1
3.89,11,0,0,0,5,1.75,2,2,2,0
55.57,6,0.41,0,0.41,5,0,2,2,2,0
3.89,19,0,3.71,3.71,5,29.63,2,2,2,1
3.41,7,6.61,55.62,62.23,5,57.16,2,4,2,1
2.37,12,0.47,0.29,0.76,5,0.07,2,2,2,0
3.41,15,20.04,48.9,68.94,5,11.09,2,2,2,1
3.41,12,3.21,72.07,75.28,5,13.79,6,2,4,1
3.41,8,8.03,94.43,102.46,5.5,10.65,2,2,6,1
2.72,9,0.96,0,0.96,5,0,2,2,2,0
2.72,15,0,0,0,5,0,2,2,2,0
3.89,8,8.4,11.05,19.45,5.5,7.34,2,2,2,1
2.37,5,0.14,0.08,0.22,5,0,2,2,2,0
21.61,43,0.52,0.68,1.2,5,0,2,2,2,0
2.72,19,1.56,14.64,16.2,5,25.97,2,2,2,1
2.72,12,3.43,1.53,4.96,5,0,2,2,2,1
3.41,32,2,49.19,51.19,5,60.88,2,2,4,1
2.72,16,2.18,30.81,32.99,5,5.8,4,2,2,1
3.89,16,4.95,42.61,47.56,5,3.46,6,2,4,1
2.72,12,2,0.32,2.32,5,5.37,2,2,2,1
3.89,16,1.33,0,1.33,5,0.2,6,2,2,1
3.89,8,8.5,12.03,20.53,5.5,7.79,2,2,2,1
3.89,32,5.37,8.62,13.99,5,17.16,4,2,2,1
3.41,12,25.4,51.74,77.14,5,12.67,6,2,6,1
21.61,2,0.67,0.75,1.42,5,0.39,2,2,2,0
2.72,2,2.23,4.54,6.77,5,22.8,6,2,2,1
3.89,8,15.38,40.14,55.52,5,0.96,2,4,4,1
55.57,22,0,0,0,5,0,2,2,2,0
3.89,12,13.92,2.2,16.12,5,0.05,2,2,2,1
3.41,8,1.98,67.91,69.89,5.5,18.79,2,2,4,1
3.89,16,1.19,12.88,14.07,5,2.33,6,2,2,1
3.89,13,0,0.87,0.87,5,0,2,2,2,0
3.89,5,0,0.05,0.05,5,152.41,2,2,2,1
